YMR056C	P04710	S000004660
YMR153W	Q03790	S000004762
YGR119C	P48837	S000003351
YAR002W	P39705	S000000063
YJL061W	P40368	S000003597
YDL116W	P52891	S000002274
YJR042W	P46673	S000003803
YDL089W	Q12066	S000002247
YDL193W	Q12063	S000002352
YGL151W	P53114	S000003119
YPR168W	Q06213	S000006372
YHR195W	P38881	S000001238
YPR091C	Q06833	S000006295
YLR093C	Q12255	S000004083
YKL120W	P32332	S000001603
YAL051W	P39720	S000000048
YKR064W	P36023	S000001772
YKL055C	P35731	S000001538
YPL052W	Q02803	S000005973
YNL099C	P50946	S000005043
YNL056W	P53949	S000005001
YCR095C	P25366	S000000691
YHL029C	P38738	S000001021
YDR067C	Q12454	S000002474
YGL038C	P31755	S000003006
YKL134C	P35999	S000001617
YPL134C	Q03028	S000006055
YOR222W	Q99297	S000005748
YML060W	P53397	S000004525
YGR179C	P53298	S000003411
YBR025C	P38219	S000000229
YGL055W	P21147	S000003023
Q0130	P61829	S000007274
YBR230C	P38325	S000000434
YIL136W	P16547	S000001398
YKR087C	P36163	S000001795
YDR316W	Q06668	S000002724
YHL020C	P21957	S000001012
YOL032W	Q08202	S000005392
YPR044C	A0A023PZI1	S000006248
YJR073C	P05375	S000003834
YDL096C	Q07521	S000002254
YDR360W	P87286	S000002768
YKR035C	P36129	S000001743
YLR338W	O94084	S000004330
YJL212C	P40897	S000003748
YPR194C	Q06593	S000006398
YBR129C	P38271	S000000333
YPR075C	Q06810	S000006279
YML065W	P54784	S000004530
YBR060C	P32833	S000000264
YLL004W	P54790	S000003927
YPR162C	P54791	S000006366
YNL261W	P50874	S000005205
YHR118C	P38826	S000001160
YGR038W	P53224	S000003270
YLR350W	Q06144	S000004342
YOR130C	Q12375	S000005656
YDL019C	Q12451	S000002177
YHR073W	P38713	S000001115
YKR003W	Q02201	S000001711
YHR001W	P38755	S000001043
YJR051W	P21375	S000003812
YJL002C	P41543	S000003539
YOR103C	P46964	S000005629
YOR085W	P48439	S000005611
YDL232W	Q99380	S000002391
YGL226C-A	Q92316	S000003194
YML019W	Q03723	S000004481
YOR255W	Q08692	S000005781
YLR054C	Q12202	S000004044
YMR148W	P40219	S000004756
YFR039C	P43611	S000001935
YFL044C	P43558	S000001850
YHL013C	P38747	S000001005
YER154W	P39952	S000000956
YKL215C	P28273	S000001698
YPL196W	Q08952	S000006117
YHR179W	Q03558	S000001222
YPL171C	P41816	S000006092
YDR071C	Q12447	S000002478
YER165W	P04147	S000000967
YGR078C	P48363	S000003310
YDR488C	P40960	S000002896
YOR269W	P39946	S000005795
YER007W	P39937	S000000809
YDR538W	P33751	S000002946
YBR279W	P38351	S000000483
YMR165C	P32567	S000004775
YMR174C	P01094	S000004786
YDR348C	Q05518	S000002756
YDR251W	P37304	S000002659
YJL104W	P42949	S000003640
YKR065C	P36147	S000001773
YLR008C	Q07914	S000003998
YIR006C	P32521	S000001445
YGL094C	P53010	S000003062
YKL025C	P36102	S000001508
YHR063C	P38787	S000001105
YIL145C	P40459	S000001407
YKR002W	P29468	S000001710
YOL115W	P53632	S000005475
YDL173W	Q12515	S000002332
YCR077C	P25644	S000000673
YJL223C	P0CE88	S000003759
YDR542W	Q03050	S000002950
YGL261C	P0CE93	S000003230
YGR294W	P53343	S000003526
YHL046C	P38725	S000001038
YIL176C	P0CE89	S000001438
YIR041W	P40585	S000001480
YKL224C	P35994	S000001707
YLL025W	Q12370	S000003948
YLL064C	P0CE91	S000003987
YMR325W	P0CE85	S000004944
YEL049W	P32612	S000000775
YOL161C	Q08322	S000005521
YOR394W	P0CE86	S000005921
YPL282C	P0CE87	S000006203
YLR037C	Q07987	S000004027
YBR301W	P38155	S000000505
YCR104W	P25610	S000000701
YLR461W	P53427	S000004453
YFL020C	P43575	S000001874
YNR076W	P0CE90	S000005359
YAR020C	P39545	S000000073
YAL068C	P0CE92	S000002142
YBL108C-A	Q3E770	S000007592
YLR199C	Q05778	S000004189
YNL015W	P0CT04	S000004960
YCL052C	P25580	S000000557
YGR178C	P53297	S000003410
YBR233W	P38151	S000000437
YDL053C	Q07362	S000002211
YJL128C	P08018	S000003664
YBR094W	P38254	S000000298
YBR295W	P38360	S000000499
YKR095W-A	Q3E833	S000028512
YLR151C	Q12524	S000004141
YDR228C	P39081	S000002636
YBR186W	P38126	S000000390
YIL071C	P40512	S000001333
YKR097W	P10963	S000001805
YGL134W	P53124	S000003102
YNL289W	P24867	S000005233
YDL127W	P25693	S000002285
YHR071W	P38794	S000001113
YER059W	P40038	S000000861
YIL050W	P40186	S000001312
YPL219W	Q08966	S000006140
YDL179W	Q12477	S000002338
YEL058W	P38628	S000000784
YGR101W	P53259	S000003333
YBR222C	P38137	S000000426
YGR202C	P13259	S000003434
YER178W	P16387	S000000980
YBR221C	P32473	S000000425
YLR044C	P06169	S000004034
YDR081C	P32896	S000002488
YLR134W	P16467	S000004124
YGR087C	P26263	S000003319
YGL248W	P22434	S000003217
YOR360C	P06776	S000005887
YPR002W	Q12428	S000006206
YCL043C	P17967	S000000548
YOR328W	P51533	S000005855
YIL013C	P40550	S000001275
YPL058C	Q02785	S000005979
YDR406W	Q04182	S000002814
YNL231C	P53860	S000005175
YNL264C	P53844	S000005208
YNR070W	P53756	S000005353
YGL013C	P12383	S000002981
YBL005W	P33200	S000000101
YOR153W	P33302	S000005679
YLR266C	Q06149	S000004256
YDR113C	P40316	S000002520
YMR076C	Q04264	S000004681
YGR193C	P16451	S000003425
YBR035C	P38075	S000000239
YER149C	P40091	S000000951
YGR058W	P53238	S000003290
YOR036W	P32854	S000005562
YBL017C	P32319	S000000113
YLR148W	P27801	S000004138
YPL154C	P07267	S000006075
YMR231W	P12868	S000004844
YDR323C	P32609	S000002731
YJL053W	P40335	S000003589
YCR044C	P25625	S000000640
YLR064W	Q12144	S000004054
YFR023W	P39684	S000001919
YKR046C	P36139	S000001754
YDR079W	P38958	S000002486
YMR257C	P08468	S000004870
YBL080C	P33893	S000000176
YER058W	Q02771	S000000860
YER153C	P10355	S000000955
YOR158W	P17558	S000005684
YOR017W	P32606	S000005543
YJL023C	P47065	S000003560
YCR020C	P25362	S000000613
YJR034W	Q02772	S000003795
YPL159C	Q99373	S000006080
YLR067C	P32522	S000004057
YNR045W	P07390	S000005328
YGR222W	P10834	S000003454
YNL003C	P38921	S000004948
YBL030C	P18239	S000000126
YDR265W	Q05568	S000002673
YOL147C	Q12462	S000005507
YMR026C	Q04370	S000004628
YLR191W	P80667	S000004181
YGL153W	P53112	S000003121
YOL044W	Q08215	S000005404
YNL214W	P40155	S000005158
YHR160C	P38855	S000001203
YDL065C	Q07418	S000002223
YKL197C	P24004	S000001680
YGR239C	P50091	S000003471
YAL055W	P39718	S000000051
YPL112C	Q02969	S000006033
YOR193W	Q08580	S000005719
YHR150W	P38848	S000001193
YDR479C	Q03370	S000002887
YJL210W	P32800	S000003746
YLR324W	Q06169	S000004316
YGR004W	P53203	S000003236
YBR168W	P38292	S000000372
YCL056C	P25584	S000000561
YDR329C	P28795	S000002737
YGR133W	P29340	S000003365
YDR244W	P35056	S000002652
YNL329C	P33760	S000005273
YDR142C	P39108	S000002549
YGR077C	P53248	S000003309
YMR018W	Q04364	S000004620
YNL326C	P42836	S000005270
YOL003C	Q12006	S000005363
YDR459C	Q03289	S000002867
YJL179W	P46988	S000003715
YBR074W	P38244	S000000278
YGR240C	P16861	S000003472
YMR205C	P16862	S000004818
YIL107C	P40433	S000001369
YOL136C	Q12471	S000005496
YHR185C	P38872	S000001228
YNL317W	P42841	S000005261
YOR122C	P07274	S000005648
YNL158W	P53896	S000005102
YNL149C	P53903	S000005093
YML125C	Q12746	S000004594
YPL206C	Q08959	S000006127
YGL025C	P40356	S000002993
YBR196C	P12709	S000000400
YCR012W	P00560	S000000605
YKL127W	P33401	S000001610
YMR105C	P37012	S000004711
YCL004W	P25578	S000000510
YJR153W	P47180	S000003914
YNL316C	P32452	S000005260
YGR132C	P40961	S000003364
YGR231C	P50085	S000003463
YKL043W	P36093	S000001526
YDR281C	Q05637	S000002689
YOL084W	Q12252	S000005444
YER037W	P40025	S000000839
YAR071W	P35842	S000000094
YHR215W	P38693	S000001258
YDL236W	P19881	S000002395
YNL097C	P50947	S000005041
YDL106C	P07269	S000002264
YBR092C	P24031	S000000296
YFR034C	P07270	S000001930
YBR093C	P00635	S000000297
YDR481C	P11491	S000002889
YOL001W	P20052	S000005361
YGR233C	P17442	S000003465
YML123C	P25297	S000004592
YPL031C	P17157	S000005952
YJL117W	P46956	S000003653
YCR037C	P25360	S000000633
YBR106W	P38264	S000000310
YBR296C	P38361	S000000500
YJL198W	P39535	S000003734
YNR013C	P27514	S000005296
YDR374C	Q06390	S000002782
YOR386W	P05066	S000005913
YJL097W	P40857	S000003633
YDR313C	Q06651	S000002721
YGL023C	P53191	S000002991
YER053C	P40035	S000000855
YML061C	P07271	S000004526
YLR273C	Q06216	S000004263
YIL045W	P40187	S000001307
YHR034C	P38768	S000001076
YNL267W	P39104	S000005211
YGR086C	P53252	S000003318
YBL022C	P36775	S000000118
YOR104W	Q12057	S000005630
YPR154W	Q06449	S000006358
YBL051C	P34217	S000000147
YOR363C	P52960	S000005890
YKL164C	Q03178	S000001647
YKL163W	Q03180	S000001646
YJL160C	P46999	S000003696
YPR113W	P06197	S000006317
YBL105C	P24583	S000000201
YDR490C	Q03407	S000002898
YOL100W	Q12236	S000005460
YDR466W	Q03306	S000002874
YIL042C	P40530	S000001304
YGL059W	P53170	S000003027
YMR123W	Q03880	S000004730
YMR008C	P39105	S000004610
YMR006C	Q03674	S000004608
YOL011W	Q08108	S000005371
YPL268W	P32383	S000006189
YDR501W	Q04383	S000002909
YDR183W	Q04004	S000002591
YOR281C	Q12017	S000005807
YGL008C	P05030	S000002976
YPL036W	P19657	S000005957
YGL006W	P38929	S000002974
YER132C	P32634	S000000934
YER003C	P29952	S000000805
YLR016C	Q07930	S000004006
YML107C	Q03760	S000004575
YCR024C-A	P32903	S000000619
YEL017C-A	P40975	S000002103
YDR276C	P87284	S000002684
YGL167C	P13586	S000003135
YNL082W	P14242	S000005026
YDL095W	P33775	S000002253
YAL023C	P31382	S000000021
YOR321W	P47190	S000005848
YJR143C	P46971	S000003904
YDL093W	P52867	S000002251
YGR199W	P42934	S000003431
YDR307W	Q06644	S000002715
YKL128C	P36069	S000001611
YGL037C	P53184	S000003005
YPL096W	Q02890	S000006017
YOR145C	Q99216	S000005671
YLR209C	Q05788	S000004199
YOR161C	Q12412	S000005687
YOR266W	P38969	S000005792
YBR022W	P38218	S000000226
YML069W	Q04636	S000004534
YPL144W	Q12245	S000006065
YCL047C	P25576	S000000552
YIL122W	P40473	S000001384
YBL035C	P38121	S000000131
YNL102W	P13382	S000005046
YNL262W	P21951	S000005206
YBR088C	P15873	S000000292
YJR006W	P46957	S000003766
YJR043C	P47110	S000003804
YDL102W	P15436	S000002260
YCR014C	P25615	S000000607
YEL055C	P39985	S000000781
YMR129W	P39685	S000004736
YLL023C	Q12164	S000003946
YLR018C	Q12445	S000004008
YNL221C	P41812	S000005165
YNR052C	P39008	S000005335
YNL282W	P53833	S000005226
YBR257W	P38336	S000000461
YAL033W	P28005	S000000031
YGR030C	P53218	S000003262
YBR167C	P38291	S000000371
YBL018C	P38208	S000000114
YNL055C	P04840	S000005000
YIL114C	P40478	S000001376
YPL188W	Q06892	S000006109
YIL160C	P27796	S000001422
YGL205W	P13711	S000003173
YMR267W	P28239	S000004880
YHR075C	P38796	S000001117
YNR032W	P32838	S000005315
YDL134C	P23594	S000002292
YDL188C	P23595	S000002347
YDR075W	P32345	S000002482
YDR435C	Q04081	S000002843
YOL141W	Q08282	S000005501
YDR452W	Q04119	S000002860
YPL179W	P32945	S000006100
YLR014C	P07272	S000004004
YBR276C	P38148	S000000480
YGR123C	P53043	S000003355
YPL148C	Q12036	S000006069
YHR201C	P38698	S000001244
YML016C	P26570	S000004478
YDR436W	P33329	S000002844
YEL060C	P09232	S000000786
YMR297W	P00729	S000004912
YCL057W	P25375	S000000562
YER012W	P22141	S000000814
YOR362C	P21242	S000005889
YPR103W	P30656	S000006307
YJL001W	P38624	S000003538
YFR050C	P30657	S000001946
YMR314W	P40302	S000004931
YOL038W	P40303	S000005398
YBL041W	P23724	S000000137
YML092C	P23639	S000004557
YGR135W	P23638	S000003367
YIR008C	P10363	S000001447
YKL045W	P20457	S000001528
YIL095W	P40494	S000001357
YNL279W	P53835	S000005223
YJL108C	P42946	S000003644
YMR278W	Q03262	S000004891
YIL037C	P40534	S000001299
YPL192C	Q08931	S000006113
YPL156C	Q12498	S000006077
YIL117C	P40476	S000001379
YML047C	Q04705	S000004510
YDL039C	Q12459	S000002197
YGL053W	P53174	S000003021
YAR031W	P39551	S000000078
YDR300C	P32264	S000002708
YOR323C	P54885	S000005850
YER023W	P32263	S000000825
YDL043C	Q07350	S000002201
YKR086W	P15938	S000001794
YGR006W	P33411	S000003238
YLL036C	P32523	S000003959
YJL203W	P32524	S000003739
YER013W	P24384	S000000815
YMR268C	P49960	S000004881
YDR243C	P23394	S000002651
YNR011C	P20095	S000005294
YGR091W	P49704	S000003323
YGR075C	Q00723	S000003307
YML046W	P39682	S000004509
YDR473C	Q03338	S000002881
YKL012W	P33203	S000001495
YDR235W	Q03776	S000002643
YGL120C	P53131	S000003088
YAL032C	P28004	S000000030
YPL151C	Q12417	S000006072
YPR178W	P20053	S000006382
YBR237W	P21372	S000000441
YBR055C	P19735	S000000259
YHR165C	P33334	S000001208
YDL030W	P19736	S000002188
YKL116C	P28708	S000001599
YDL214C	Q12310	S000002373
YKL181W	P32895	S000001664
YER099C	P38620	S000000901
YHL011C	P38689	S000001003
YBL068W	P38063	S000000164
YOL061W	Q12265	S000005422
YOR361C	P06103	S000005888
YBL064C	P34227	S000000160
YJL079C	P47032	S000003615
YKR013W	P36110	S000001721
YJL078C	P47033	S000003614
YDL055C	P41940	S000002213
YNL169C	P39006	S000005113
YGR170W	P53037	S000003402
YMR308C	P32337	S000004925
YDR013W	Q12488	S000002420
YJL072C	P40359	S000003608
YOL146W	Q12146	S000005506
YKL077W	P36081	S000001560
YOL054W	Q12161	S000005415
YAL017W	P31374	S000000015
YOL045W	Q08217	S000005405
YMR137C	P30620	S000004745
YDR505C	P50896	S000002913
YML017W	P50109	S000004479
YLL010C	Q07800	S000003933
YLR019W	Q07949	S000004009
YDR055W	Q12355	S000002462
YDR032C	Q12335	S000002439
YKL076C	P36082	S000001559
YNL201C	P40164	S000005145
YLR376C	Q12318	S000004368
YBL046W	P38193	S000000142
YAL043C	Q01329	S000000041
YDL006W	P35182	S000002164
YER089C	P39966	S000000891
YBL056W	P34221	S000000152
YBR125C	P38089	S000000329
YOR090C	Q12511	S000005616
YCR079W	P25646	S000002133
YHR076W	P38797	S000001118
YHR189W	P38876	S000001232
YBL057C	P34222	S000000153
YGR156W	P39927	S000003388
YKL198C	P36002	S000001681
YJR059W	P47116	S000003820
YKL039W	P32857	S000001522
YDL230W	P25044	S000002389
YOR208W	P29461	S000005734
YER075C	P40048	S000000877
YKR093W	P32901	S000001801
YFR029W	P43606	S000001925
YNL016W	P32588	S000004961
YPR042C	Q12221	S000006246
YLL013C	Q07807	S000003936
YGL014W	P25339	S000002982
YDR496C	Q04373	S000002904
YER185W	P40100	S000000987
YLR414C	Q06991	S000004406
YOR157C	P25043	S000005683
YGR253C	P32379	S000003485
YER094C	P25451	S000000896
YPL212C	Q12211	S000006133
YGL063W	P53167	S000003031
YNL292W	P48567	S000005236
YLR165C	Q06244	S000004155
YGR169C	P53294	S000003401
YOR243C	Q08647	S000005769
YDL036C	Q12069	S000002194
YLR142W	P09368	S000004132
YHR037W	P07275	S000001079
YKL015W	P25502	S000001498
YOR348C	P15380	S000005875
YLR196W	P21304	S000004186
YCR057C	P25635	S000000653
YPL147W	P41909	S000006068
YKL188C	P34230	S000001671
YKR090W	P36166	S000001798
YGR280C	P53335	S000003512
YGL062W	P11154	S000003030
YBR218C	P32327	S000000422
YOR347C	P52489	S000005874
YPR186C	P39933	S000006390
YHR001W-A	P37299	S000003529
YPR191W	P07257	S000006395
YFR033C	P00127	S000001929
YDR529C	P00128	S000002937
YJL166W	P08525	S000003702
YGR183C	P22289	S000003415
YIL120W	P40475	S000001382
YIL121W	P40474	S000001383
YBR043C	P38227	S000000247
YHR074W	P38795	S000001116
YDL103C	P43123	S000002261
YLR204W	P32344	S000004194
YDL104C	P43122	S000002262
YPL022W	P06777	S000005943
YML095C	P06838	S000004560
YMR201C	P28519	S000004814
YBR114W	P31244	S000000318
YOR368W	P48581	S000005895
YCR066W	P10862	S000000662
YGR258C	P07276	S000003490
YEL037C	P32628	S000000763
YER173W	P32641	S000000975
YJR035W	P40352	S000003796
YKL113C	P26793	S000001596
YDR030C	Q12021	S000002437
YDR419W	Q04049	S000002827
YML011C	Q04231	S000004472
YDR314C	Q06665	S000002722
YER171W	P06839	S000000973
YER162C	P14736	S000000964
YNL250W	P12753	S000005194
YER095W	P25454	S000000897
YML032C	P06778	S000004494
YPL153C	P22216	S000006074
YGL163C	P32863	S000003131
YDR076W	P38953	S000002483
YDR004W	P25301	S000002411
YDL059C	Q12223	S000002217
YLR032W	P32849	S000004022
YDR014W	Q99359	S000002421
YGL058W	P06104	S000003026
YJR052W	P06779	S000003813
YDR217C	P14737	S000002625
R0030W	Q06891	S000029674
YGL246C	P53063	S000003215
YDL090C	P22007	S000002248
YKL019W	P29703	S000001502
YNL216W	P11938	S000005160
YOR101W	P01119	S000005627
YNL098C	P01120	S000005042
YOR048C	Q02792	S000005574
YJR033C	P47104	S000003794
YDR202C	Q03956	S000002610
YOR301W	Q08760	S000005827
YLR084C	Q12465	S000004074
YDR527W	Q04418	S000002935
YPL246C	Q12270	S000006167
YAL036C	P39729	S000000034
YGR173W	P53295	S000003405
YCR036W	P25332	S000000632
YOR265W	P48606	S000005791
YDL189W	Q05672	S000002348
YMR274C	Q03530	S000004887
YML030W	Q03713	S000004492
YNR018W	P53721	S000005301
YMR034C	Q05131	S000004637
YGL158W	P38622	S000003126
YLR248W	P38623	S000004238
YOL010W	Q08096	S000005370
YNL022C	P53972	S000004967
YKL159C	P36054	S000001642
YOR220W	Q12044	S000005746
YMR075W	Q04779	S000004680
YBR005W	P38212	S000000209
YDR003W	Q03446	S000002410
YJL204C	P39531	S000003740
YBR073W	P38086	S000000277
YDL135C	Q12434	S000002294
YOR285W	Q12305	S000005811
YOR286W	Q08742	S000005812
YOR380W	Q08904	S000005907
YCR106W	P25611	S000000703
YPL133C	P19541	S000006054
YPR094W	Q06835	S000006298
YCL054W-A	A0A0B7P221	S000178054
YBR049C	P21538	S000000253
YLR329W	Q02721	S000004321
YHR157W	P33323	S000001200
YJR021C	P21651	S000003782
YMR133W	P32841	S000004740
YPR007C	Q12188	S000006211
YLR263W	P14291	S000004253
YJL217W	P40893	S000003753
YDR195W	P42073	S000002603
YDR028C	Q00816	S000002435
YBR050C	P38232	S000000254
YLR387C	Q06709	S000004379
YBR267W	P38344	S000000471
R0020C	P03871	S000029675
R0040C	P03872	S000029676
YCL001W	P25560	S000000507
YBR002C	P35196	S000000206
YOR207C	P22276	S000005733
YFR051C	P43621	S000001947
YPL010W	P53600	S000005931
YOR346W	P12689	S000005873
YPL167C	P14284	S000006088
YIL139C	P38927	S000001401
YLR059C	P54964	S000004049
YLR107W	Q12090	S000004097
YOL080C	Q08237	S000005440
YAR007C	P22336	S000000065
YNL312W	P26754	S000005256
YJL173C	P26755	S000003709
YOR217W	P38630	S000005743
YJR068W	P40348	S000003829
YNL290W	P38629	S000005234
YOL094C	P40339	S000005454
YBR087W	P38251	S000000291
YOR279C	Q12192	S000005805
YBR052C	P38234	S000000256
YBL020W	P38206	S000000116
YLR073C	Q08003	S000004063
YLR176C	P48743	S000004166
YOR127W	P39083	S000005653
YDR379W	Q06407	S000002787
YPR115W	Q06108	S000006319
YBR260C	P38339	S000000464
YFL047W	P43556	S000001847
YER067W	P40043	S000000869
YIL057C	P40188	S000001319
YPL066W	Q12194	S000005987
YMR182C	Q00453	S000004794
YDR137W	P16664	S000002544
YLR071C	P19263	S000004061
YOR107W	Q99188	S000005633
YKL038W	P32862	S000001521
YDL138W	Q12300	S000002297
YCR027C	P25378	S000000622
YPR165W	P06780	S000006369
YNL090W	P06781	S000005034
YIL118W	Q00245	S000001380
YKR055W	Q00246	S000001763
YNL180C	P53879	S000005124
YNL163C	P53893	S000005107
YBL033C	P38066	S000000129
YOL066C	Q12362	S000005427
YDR487C	Q99258	S000002895
YOL143C	P50861	S000005503
YBR256C	P38145	S000000460
YBR153W	P33312	S000000357
YLR039C	P40395	S000004029
YBR275C	P29539	S000000479
YLR453C	Q06208	S000004445
YCR028C-A	P32445	S000007222
YHL027W	P33400	S000001019
YMR139W	P38615	S000004747
YMR154C	Q03792	S000004763
YFL033C	P43565	S000001861
YBR192W	P38127	S000000396
YOR275C	Q12033	S000005801
YNL294C	P48565	S000005238
YHL024W	P38741	S000001016
YGL045W	P53179	S000003013
YMR063W	Q04734	S000004667
YOR119C	Q12196	S000005645
YNL207W	P40160	S000005151
YEL024W	P08067	S000000750
YMR283C	P23796	S000004896
YHR197W	P38883	S000001240
YLL034C	Q07844	S000003957
YOR095C	Q12189	S000005621
YPL208W	Q08961	S000006129
YDR198C	Q03942	S000002606
YBR030W	P38222	S000000234
YDR257C	Q12504	S000002665
YLR137W	Q12367	S000004127
YMR247C	Q04781	S000004861
YPR018W	Q12495	S000006222
YDR091C	Q03195	S000002498
YPL089C	Q12224	S000006010
YLR009W	Q07915	S000003999
YNL002C	P40693	S000004947
YKL132C	P36001	S000001615
YDL001W	Q03441	S000002159
YDR255C	Q12508	S000002663
YEL072W	P39975	S000000798
YFR048W	P43620	S000001944
YGL107C	P53140	S000003075
YGR044C	P32338	S000003276
YPL024W	Q02685	S000005945
YEL050C	P32611	S000000776
YLR145W	Q12530	S000004135
YGL250W	P53060	S000003219
YDR465C	Q03305	S000002873
YMR235C	P11745	S000004848
YMR061W	P25298	S000004665
YGL044C	P25299	S000003012
YMR234W	Q04740	S000004847
YNL072W	P53942	S000005016
YDR279W	Q05635	S000002687
YLR154C	Q12338	S000004144
YGR276C	P53331	S000003508
YLL046C	P32385	S000003969
YCL028W	P25367	S000000533
YER070W	P21524	S000000872
YJL026W	P09938	S000003563
YIL066C	P21672	S000001328
YGR180C	P49723	S000003412
YMR239C	Q02555	S000004852
YPL123C	Q02933	S000006044
YOR018W	Q02805	S000005544
YGL144C	P53118	S000003112
YFR022W	P43602	S000001918
YGL171W	P45818	S000003139
YGR070W	P53046	S000003302
YLR371W	P51862	S000004363
YMR200W	Q03691	S000004813
YBR229C	P38138	S000000433
YPR065W	P25042	S000006269
YBL093C	P25046	S000000189
YMR258C	Q04847	S000004871
YJR063W	P32529	S000003824
YPR010C	P22138	S000006214
YDR156W	P50106	S000002563
YOR341W	P10964	S000005868
YJL148W	P47006	S000003684
YOR340C	P46669	S000005867
YNL248C	Q01080	S000005192
YOR210W	P22139	S000005736
YOL005C	P38902	S000005365
YOR151C	P08518	S000005677
YIL021W	P16370	S000001283
YJL140W	P20433	S000003676
YBR154C	P20434	S000000358
YDR404C	P34087	S000002812
YOR224C	P20436	S000005750
YGL070C	P27999	S000003038
YHR143W-A	P40422	S000001185
YDR045C	Q04307	S000002452
YJL011C	P47076	S000003548
YNL113W	P28000	S000005057
YKL144C	P35718	S000001627
YNL151C	P17890	S000005095
YNR003C	P32910	S000005286
YKR025W	P36121	S000001733
YPR110C	P07703	S000006314
YDL150W	P25441	S000002309
YPR190C	P32349	S000006394
YNL330C	P32561	S000005274
YJL121C	P46969	S000003657
YHR088W	P38805	S000001130
YKR081C	P36160	S000001789
YBR079C	P38249	S000000283
YER169W	P39956	S000000971
YIL119C	P23250	S000001381
YLR075W	P41805	S000004065
YPR102C	P0C0W9	S000006306
YGR085C	Q3E757	S000003317
YEL054C	P0CX53	S000000780
YDR418W	P0CX54	S000002826
YDL082W	Q12690	S000002240
YMR142C	P40212	S000004750
YKL006W	P36105	S000001489
YHL001W	P38754	S000000993
YLR029C	P05748	S000004019
YMR121C	P54780	S000004728
YIL133C	P26784	S000001395
YNL069C	P26785	S000005013
YKL180W	P05740	S000001663
YJL177W	P46990	S000003713
YOL120C	P0CX49	S000005480
YNL301C	P0CX50	S000005245
YBR084C-A	P0CX82	S000002156
YBL027W	P0CX83	S000000123
YPL220W	P0CX43	S000006141
YGL135W	P0CX44	S000003103
YMR242C	P0CX23	S000004855
YOR312C	P0CX24	S000005839
YBR191W	Q02753	S000000395
YPL079W	Q12672	S000006000
YLR061W	P05749	S000004051
YFL034C-A	P56628	S000006436
YBL087C	P0CX41	S000000183
YER117W	P0CX42	S000000919
YGL031C	P04449	S000002999
YGR148C	P24000	S000003380
YOL127W	P04456	S000005487
YLR344W	P05743	S000004336
YGR034W	P53221	S000003266
YHR010W	P0C2H6	S000001052
YDR471W	P0C2H7	S000002879
YGL103W	P02406	S000003071
YFR032C-A	P05747	S000006437
YFR031C-A	P0CX45	S000002104
YIL018W	P0CX46	S000001280
YGL030W	P14120	S000002998
YDL075W	P0C2H8	S000002233
YLR406C	P0C2H9	S000004398
YBL092W	P38061	S000000188
YPL143W	P05744	S000006064
YOR234C	P41056	S000005760
YER056C-A	P87262	S000002135
YIL052C	P40525	S000001314
YDL191W	P0CX84	S000002350
YDL136W	P0CX85	S000002295
YMR194W	P05745	S000004807
YPL249C-A	O14455	S000006438
YLR185W	P49166	S000004175
YDR500C	P51402	S000002908
YLR325C	P49167	S000004317
YJL189W	P04650	S000003725
YOR063W	P14126	S000005589
YIL148W	P0CH08	S000001410
YKR094C	P0CH09	S000001802
YDL184C	P0CX86	S000002343
YDL133C-A	P0CX87	S000002293
YNL162W	P0CX27	S000005106
YHR141C	P0CX28	S000001183
YPR043W	P0CX25	S000006247
YJR094W-A	P0CX26	S000003855
YBR031W	P10664	S000000235
YDR012W	P49626	S000002419
YPL131W	P26321	S000006052
YML073C	Q02326	S000004538
YLR448W	P05739	S000004440
YGL076C	P05737	S000003044
YPL198W	Q12213	S000006119
YHL033C	P17076	S000001025
YLL045C	P29453	S000003968
YGL147C	P05738	S000003115
YNL067W	P51401	S000005011
YML091C	Q02773	S000004556
YHR200W	P38886	S000001243
YFR004W	P43588	S000001900
YFR052W	P32496	S000001948
YLR421C	O13563	S000004413
YGL004C	P53196	S000002972
YHR027C	P38764	S000001069
YIL075C	P32565	S000001337
YER021W	P40016	S000000823
YDL020C	Q03465	S000002178
YDL147W	Q12250	S000002306
YDL097C	Q12377	S000002255
YPR108W	Q06103	S000006312
YOR261C	Q08723	S000005787
YDR427W	Q04062	S000002835
YDL140C	P04050	S000002299
YPR187W	P20435	S000006391
YOR116C	P04051	S000005642
YFL036W	P13433	S000001858
YLR340W	P05317	S000004332
YHR062C	P38786	S000001104
YDL081C	P05318	S000002239
YDL130W	P10622	S000002288
YOL039W	P05319	S000005399
YDR382W	P02400	S000002790
YIR015W	P40571	S000001454
YGR214W	P32905	S000003446
YLR048W	P46654	S000004038
YOR293W	Q08745	S000005819
YMR230W	P46784	S000004843
YDR025W	P0CX47	S000002432
YBR048W	P0CX48	S000000252
YOR369C	P48589	S000005896
YDR064W	P05756	S000002471
YCR031C	P06367	S000000627
YJL191W	P39516	S000003727
YOL040C	Q01855	S000005400
YMR143W	P0CX51	S000004751
YDL083C	P0CX52	S000002241
YML024W	P02407	S000004486
YDR447C	P14127	S000002855
YDR450W	P0CX55	S000002858
YML026C	P0CX56	S000004488
YOL121C	P07280	S000005481
YNL302C	P07281	S000005246
YLR441C	P33442	S000004433
YML063W	P23248	S000004528
YHL015W	P38701	S000001007
YKR057W	P0C0V8	S000001765
